region,suburb,median_rent,property_type
Outer Eastern Melbourne,Croydon-Lilydale,500.0,2 Bed Flat
Outer Eastern Melbourne,Ferntree Gully,500.0,2 Bed Flat
Outer Eastern Melbourne,Ringwood,515.0,2 Bed Flat
Outer Eastern Melbourne,Rowville,525.0,2 Bed Flat
Outer Eastern Melbourne,Wantirna-Scoresby,515.0,2 Bed Flat
Outer Eastern Melbourne,Yarra Ranges,460.0,2 Bed Flat
Outer Eastern Melbourne,Total,500.0,2 Bed Flat
South Eastern Melbourne,Berwick,490.0,2 Bed Flat
South Eastern Melbourne,Cranbourne,460.0,2 Bed Flat
South Eastern Melbourne,Dandenong,450.0,2 Bed Flat
South Eastern Melbourne,Dandenong North-Endeavour Hills,465.0,2 Bed Flat
South Eastern Melbourne,Narre Warren-Hampton Park,470.0,2 Bed Flat
South Eastern Melbourne,Noble Park,490.0,2 Bed Flat
South Eastern Melbourne,Pakenham,450.0,2 Bed Flat
South Eastern Melbourne,Springvale,505.0,2 Bed Flat
South Eastern Melbourne,Total,470.0,2 Bed Flat
Mornington Peninsula,Dromana-Portsea,470.0,2 Bed Flat
Mornington Peninsula,Frankston,465.0,2 Bed Flat
Mornington Peninsula,Hastings-Flinders,470.0,2 Bed Flat
Mornington Peninsula,Mt Eliza-Mornington-Mt Martha,535.0,2 Bed Flat
Mornington Peninsula,Seaford-Carrum Downs,470.0,2 Bed Flat
Mornington Peninsula,Total,480.0,2 Bed Flat
Geelong,Belmont-Grovedale,430.0,2 Bed Flat
Geelong,Corio,380.0,2 Bed Flat
Geelong,Geelong-Newcomb,470.0,2 Bed Flat
Geelong,Herne Hill-Geelong West,400.0,2 Bed Flat
Geelong,Lara,410.0,2 Bed Flat
Geelong,Newtown,430.0,2 Bed Flat
Geelong,North Geelong,420.0,2 Bed Flat
Geelong,Total,425.0,2 Bed Flat
Ballarat,Ballarat,350.0,2 Bed Flat
Ballarat,Mount Clear-Buninyong,350.0,2 Bed Flat
Ballarat,Sebastopol-Delacombe,350.0,2 Bed Flat
Ballarat,Wendouree-Alfredton,350.0,2 Bed Flat
Ballarat,Total,350.0,2 Bed Flat
Bendigo,Bendigo,400.0,2 Bed Flat
Bendigo,Flora Hill-Bendigo East,373.0,2 Bed Flat
Bendigo,Golden Square-Kangaroo Flat,380.0,2 Bed Flat
Bendigo,North Bendigo,375.0,2 Bed Flat
Bendigo,Total,380.0,2 Bed Flat
Other Regional Centres,Bairnsdale,370.0,2 Bed Flat
Other Regional Centres,Benalla,370.0,2 Bed Flat
Other Regional Centres,Castlemaine,390.0,2 Bed Flat
Other Regional Centres,Echuca,410.0,2 Bed Flat
Other Regional Centres,Hamilton,300.0,2 Bed Flat
Other Regional Centres,Horsham,305.0,2 Bed Flat
Other Regional Centres,Mildura,350.0,2 Bed Flat
Other Regional Centres,Moe-Newborough,305.0,2 Bed Flat
Other Regional Centres,Morwell,310.0,2 Bed Flat
Other Regional Centres,Ocean Grove-Barwon Heads,463.0,2 Bed Flat
Other Regional Centres,Portland,350.0,2 Bed Flat
Other Regional Centres,Sale-Maffra,360.0,2 Bed Flat
Other Regional Centres,Seymour,350.0,2 Bed Flat
Other Regional Centres,Shepparton,375.0,2 Bed Flat
Other Regional Centres,Swan Hill,350.0,2 Bed Flat
Other Regional Centres,Torquay,500.0,2 Bed Flat
Other Regional Centres,Traralgon,360.0,2 Bed Flat
Other Regional Centres,Wangaratta,350.0,2 Bed Flat
Other Regional Centres,Warragul,400.0,2 Bed Flat
Other Regional Centres,Warrnambool,410.0,2 Bed Flat
Other Regional Centres,Wodonga,370.0,2 Bed Flat
Other Regional Centres,Total,360.0,2 Bed Flat
Other Regional Centres,,,2 Bed Flat
Other Regional Centres,,,2 Bed Flat
