suburb,median_price,sales_count
Echuca,579000.0,70
Edenhope,307500.0,4
Edithvale,1379900.0,10
Eildon,490000.0,3
Elliminyt,612500.0,7
Elmore,455000.0,5
Elsternwick,1950000.0,12
Eltham,1200000.0,45
Eltham North,1216000.0,16
Elwood,2542500.0,20
Emerald,928500.0,18
Endeavour Hills,802500.0,56
Epping,652000.0,87
Epsom,585000.0,28
Essendon,1500000.0,47
Essendon North,1180000.0,5
Essendon West,1525000.0,5
Eumemmerring,690000.0,3
Eureka,570000.0,5
Euroa,480000.0,13
Eynesbury,750000.0,19
Fairfield,1647000.0,17
Fairhaven,1906500.0,2
Fawkner,805000.0,37
Ferntree Gully,902000.0,58
Ferny Creek,1012000.0,5
Fingal,1242500.0,2
Fitzroy,1600000.0,24
Fitzroy North,1415000.0,35
Fiveways,875000.0,3
Flemington,1140300.0,18
Flinders,3250000.0,2
Flora Hill,520500.0,20
Footscray,955000.0,28
Forest Hill,1220000.0,23
Foster,485000.0,9
Frankston,750000.0,146
Frankston North,625000.0,28
Frankston South,1200000.0,67
Fraser Rise,694000.0,98
Fyansford,965000.0,7
Garden City,2100000.0,7
Gardenvale,2221000.0,5
Garfield,862500.0,2
Geelong,915000.0,14
Geelong West,915000.0,16
Gembrook,1012300.0,4
Gisborne,1042500.0,36
Gladstone Park,805000.0,23
Glen Huntly,1907000.0,3
Glen Iris,2177500.0,48
Glen Waverley,1632900.0,86
Glenrowan,580000.0,6
Glenroy,860000.0,57
Golden Beach,335000.0,6
Golden Point (Ballarat),476000.0,21
Golden Square,525000.0,47
Gordon,627500.0,4
Gowanbrae,992500.0,6
Grantville,588000.0,9
Green Lake,556000.0,4
Greensborough,1005200.0,52
Greenvale,867500.0,82
Grovedale,650000.0,62
Hadfield,901000.0,29
Hallam,745000.0,27
Halls Gap,582500.0,0
Hamilton,415000.0,38
Hamlyn Heights,750000.0,35
Hampton,2305000.0,46
Hampton East,1459000.0,11
Hampton Park,660000.0,87
Harkness,563000.0,57
Hastings,672500.0,22
Hastings West,652500.0,5
Hawthorn,2440000.0,26
Hawthorn East,2558000.0,38
Healesville,805000.0,18
Heathcote,468000.0,12
Heatherton,1050000.0,7
Heathmont,1115000.0,22
Heidelberg,1375000.0,14
Heidelberg Heights,891500.0,16
Heidelberg West,830000.0,11
Hepburn,490000.0,1
Hepburn Springs,825000.0,2
Herne Hill,710000.0,16
Heyfield,400000.0,16
Heywood,322500.0,6
Highett,1426000.0,30
Highton,850000.0,61
Hillside (Melton),825000.0,39
Hopetoun,162500.0,2
Hoppers Crossing,620000.0,140
Horsham,413100.0,68
Hughesdale,1440000.0,13
Huntingdale,1260500.0,4
Huntly,549000.0,24
Hurstbridge,990000.0,7
Indented Head,730000.0,10
Inglewood,425000.0,3
Inverloch,825000.0,49
Invermay Park,605000.0,9
Ironbark,475000.0,6
Irymple,645000.0,20
Ivanhoe,2115000.0,22
Ivanhoe East,2355000.0,9
Jacana,623500.0,12
Jackass Flat,545000.0,7
Jan Juc,1232500.0,14
Jeeralang North,410000.0,3
Jeparit,191500.0,2
Junction Village,665000.0,7
Junortoun,806000.0,13
Kalimna,557500.0,2
Kalkallo,630000.0,79
Kallista,900000.0,7
Kalorama,815000.0,2
