yield_quartile,spread_low_rate,spread_current_rate,spread_high_rate
High Yield,0.017956471386121574,-0.007043528613878384,-0.02204352861387841
Low Yield,-0.009787906881142786,-0.03478790688114283,-0.04978790688114285
Mid-High Yield,0.007627932454727531,-0.01737206754527242,-0.032372067545272436
Mid-Low Yield,0.0007797208062543368,-0.02422027919374567,-0.039220279193745676
